p1,p2,sigma
1,2,0.37966967344839764
1,5,0.0985826122542297
1,6,0.10906334037510769
1,7,0.30921295609541466
1,8,0.35803544815356625
2,5,-0.0568463224333219
2,6,0.32426600333129196
2,7,0.012235960888542362
2,8,0.22406332777886095
5,6,0.2288880571122436
5,7,-0.21086187245691423
5,8,0.34426247131147814
6,7,0.32226949682489975
6,8,0.3312035597387689
7,8,-0.15092705028841535
1,2,0.03517184019877827
1,5,0.4367111579041989
1,6,0.179257916213722
1,7,0.02028755478677627
1,8,-0.12530782619000605
2,5,-0.3002976288938701
2,6,-0.256934199928596
2,7,-0.2556856360841681
2,8,0.2739774080878671
5,6,0.15654738261478388
5,7,-0.3751166960051642
5,8,-0.1288459069382792
6,7,-0.25186353025351427
6,8,-0.23934933154346225
7,8,-0.4007772811840846
1,2,-0.05450996097105823
1,5,-0.18113400031805146
1,6,-0.47229617570045246
1,7,-0.3361710058451535
1,8,-0.058281324896930886
2,5,0.40689265034398414
2,6,0.019626897708964072
2,7,-0.4958037673693007
2,8,0.1910901341580548
5,6,0.32431282794652466
5,7,-0.06213066538551117
5,8,0.16588526896932074
6,7,0.006176858625359577
6,8,0.059463838933116256
7,8,-0.19061240577650745
1,2,0.04866675599479316
1,5,0.22011937628677647
1,6,0.43346575006398064
1,7,-0.020143222143108402
1,8,-0.0517364054906162
2,5,0.44615012913502816
2,6,-0.002226686725017385
2,7,-0.0021546370267973335
2,8,-0.5790958955328237
5,6,0.3061217847936998
5,7,0.11682589122634729
5,8,0.2228463036272335
6,7,-0.11746820997739951
6,8,-0.0727295617140912
7,8,-0.21836842821395555
1,2,-0.11467141665218555
1,5,0.18701912488269484
1,6,-0.29245210936606814
1,7,0.20856381726730994
1,8,0.18187100940645712
2,5,-0.05933604079285197
2,6,-0.14539711589297755
2,7,0.30780538489092923
2,8,0.07044314650695724
5,6,0.6964947846139322
5,7,0.2788609282493229
5,8,-0.22892883557689736
6,7,-0.13841229981326642
6,8,0.002925970343683984
7,8,0.17595262975882067
1,2,0.07947985662296098
1,5,0.15264006560612278
1,6,-0.06666568129582864
1,7,0.1825401361782538
1,8,-0.4479011398510383
2,5,-0.008567414170353536
2,6,0.17118987076372977
2,7,0.026712878306417092
2,8,0.2394939896152256
5,6,-0.07876996323166749
5,7,0.6201186852782554
5,8,0.036896471936117704
6,7,0.29461040286543205
6,8,-0.17592645422979455
7,8,-0.36700728682560924
1,2,-0.0752180603369914
1,5,-0.33158011026957634
1,6,-0.11726928654021121
1,7,-0.1550654176813777
1,8,0.2992149993300609
2,5,-0.4602947865084527
2,6,-0.16268246004418258
2,7,0.008329392598847416
2,8,-0.3889521438777231
5,6,0.07456363866969248
5,7,0.1187877464355809
5,8,-0.050374209210005315
6,7,0.21187587117430226
6,8,0.008562701137261944
7,8,-0.547911795744723
1,2,0.19496859883292564
1,5,0.09911786643592625
1,6,-0.34310323026963246
1,7,0.6029275352954798
1,8,0.12573489982177563
2,5,0.014595419418381498
2,6,-0.14842980315005946
2,7,-0.4733804105354712
2,8,-0.3203297440256027
5,6,-0.24023799342134677
5,7,0.10524187507346053
5,8,-0.021098023772518657
6,7,-0.18319881680197675
6,8,0.002822890333405423
7,8,0.05798750974220935
1,2,0.05653476831689757
1,5,-0.1350324535034663
1,6,0.45836026633310306
1,7,-0.12743093345200407
1,8,0.033425156932165946
2,5,-0.21474915199944633
2,6,-0.2232798028917955
2,7,-0.44055693770138044
2,8,0.18259489107054871
5,6,0.120954003580093
5,7,0.45053144043104565
5,8,0.0033632502146320256
6,7,-0.11011699752069248
6,8,0.38795248378952163
7,8,0.21786467466002554
1,2,0.25795804108283965
1,5,-0.27012749181980017
1,6,-0.11941595295846934
1,7,0.0805431951664804
1,8,-0.6544257994242879
2,5,-0.33569535912200227
2,6,0.11060754027148235
2,7,0.08530551799760808
2,8,-0.22912757666124656
5,6,0.259398269421465
5,7,-0.19332902653172326
5,8,0.16634492118346533
6,7,-0.20761790424618531
6,8,0.20891756170546408
7,8,0.0876382052534638
1,2,0.5326619411444623
1,5,0.472103089163735
1,6,-0.23606996494188598
1,7,-0.5265710214550179
1,8,0.049384733907363726
2,5,-0.16220250660327987
2,6,-0.03371491172772241
2,7,-0.010096974119614736
2,8,-0.19305819090372317
5,6,-0.06212106581101854
5,7,0.1066703344862575
5,8,-0.010230500676416801
6,7,0.1588548255976592
6,8,-0.02846296611208249
7,8,0.22745988673210554
1,2,0.3382594162183345
1,5,-0.18740104157810167
1,6,-0.07930283965132034
1,7,-0.06831432026047618
1,8,0.18599672377651383
2,5,0.08294932989018484
2,6,-0.24852131069957928
2,7,0.3346321615829004
